epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5709,1.93232,2.94294,2.94526,0.20976,0.32526,0.25177,0.23126,0.07854,1.67375,2.50695,2.53117,0.21239,0.00012,0.00012,0.00012
2,65.6432,1.57708,1.97848,2.28915,0.19561,0.72603,0.80142,0.78535,0.45062,1.40688,1.44105,2.24879,0.17868,0.000249704,0.000249704,0.000249704
3,98.8143,1.45149,1.42407,2.13294,0.17332,0.88444,0.8227,0.8925,0.54689,1.23148,1.29057,2.03587,0.15421,0.00036832,0.00036832,0.00036832
4,131.864,1.32204,1.25102,2.05974,0.16672,0.92096,0.84043,0.90396,0.56236,1.21418,1.21788,1.98122,0.14001,0.000475848,0.000475848,0.000475848
5,166.144,1.29206,1.11931,1.92934,0.14434,0.92028,0.81874,0.91519,0.59172,1.18442,1.15517,1.88705,0.14256,0.000572288,0.000572288,0.000572288
6,199.436,1.28394,1.08915,1.81247,0.15671,0.95073,0.88953,0.9342,0.61819,1.06954,1.1225,1.72519,0.12649,0.00065764,0.00065764,0.00065764
7,232.299,1.31241,1.04071,1.77981,0.16691,0.93552,0.90071,0.95111,0.62743,1.13801,1.00047,1.7977,0.14337,0.000731904,0.000731904,0.000731904
8,265.315,1.20654,0.93937,1.77744,0.14342,0.95048,0.88298,0.93998,0.67975,1.04016,1.00734,1.67433,0.12551,0.00079508,0.00079508,0.00079508
9,298.016,1.21398,0.94991,1.73516,0.14118,0.95548,0.91322,0.96073,0.69021,1.00273,0.89265,1.63761,0.1263,0.000847168,0.000847168,0.000847168
10,330.425,1.17386,0.9068,1.722,0.15725,0.98628,0.91489,0.9684,0.67194,1.00911,0.86785,1.58235,0.13002,0.000888168,0.000888168,0.000888168
11,364.231,1.17676,0.88974,1.71034,0.14927,0.98604,0.9078,0.9704,0.71325,0.96445,0.83524,1.5489,0.124,0.00091808,0.00091808,0.00091808
12,396.882,1.15581,0.86449,1.67708,0.12338,0.96005,0.92199,0.96628,0.69972,0.97396,0.8188,1.58272,0.12797,0.000936904,0.000936904,0.000936904
13,429.207,1.10405,0.80009,1.63571,0.14861,0.97547,0.92553,0.96761,0.72055,0.94554,0.78048,1.51225,0.12854,0.00094464,0.00094464,0.00094464
14,461.812,1.09883,0.8187,1.57131,0.15874,0.9747,0.94326,0.97895,0.73082,0.9026,0.74098,1.45947,0.11509,0.000941288,0.000941288,0.000941288
15,494.797,1.14637,0.81156,1.6727,0.15657,0.97078,0.94238,0.98016,0.73554,0.8987,0.73827,1.46365,0.11562,0.0008912,0.0008912,0.0008912
16,528.139,0.97818,0.76553,1.56578,0.11952,0.96952,0.95035,0.97556,0.74299,0.8893,0.7457,1.41839,0.11115,0.000812,0.000812,0.000812
17,561.523,0.92911,0.73318,1.45649,0.12375,0.98128,0.9293,0.97335,0.7393,0.89383,0.75075,1.40187,0.10889,0.0007328,0.0007328,0.0007328
18,595.358,0.94956,0.68758,1.52437,0.12712,0.99077,0.94326,0.97799,0.76014,0.85253,0.69515,1.36311,0.10753,0.0006536,0.0006536,0.0006536
19,628.266,0.91213,0.67029,1.47277,0.12343,0.97937,0.95745,0.98161,0.77443,0.81049,0.65875,1.34958,0.10274,0.0005744,0.0005744,0.0005744
20,660.908,0.89887,0.69009,1.47185,0.11131,0.98542,0.95887,0.98735,0.77859,0.79121,0.6469,1.33984,0.09789,0.0004952,0.0004952,0.0004952
21,691.627,0.84066,0.6365,1.43483,0.09497,0.98898,0.95514,0.98779,0.77845,0.78263,0.63686,1.33241,0.09568,0.000416,0.000416,0.000416
22,722.545,0.8998,0.66638,1.49741,0.13305,0.98741,0.96454,0.99058,0.78552,0.75865,0.61126,1.31161,0.09246,0.0003368,0.0003368,0.0003368
23,753.115,0.84333,0.645,1.41379,0.1055,0.97663,0.97163,0.99175,0.79137,0.74519,0.59158,1.30098,0.08719,0.0002576,0.0002576,0.0002576
24,784.085,0.82332,0.62477,1.35174,0.10395,0.9855,0.96389,0.98353,0.79665,0.73665,0.58007,1.29785,0.08357,0.0001784,0.0001784,0.0001784
25,814.718,0.82091,0.63292,1.38644,0.09691,0.98595,0.96099,0.9836,0.79575,0.73244,0.57705,1.29684,0.0823,9.92e-05,9.92e-05,9.92e-05
