epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7766,1.79799,3.37419,2.89321,0.18997,0.09661,0.5878,0.12775,0.04778,1.55642,3.1258,2.90676,0.20462,0.00010002,0.00010002,0.00010002
2,66.8368,1.61353,2.54191,2.55145,0.19799,0.41854,0.48639,0.46053,0.25301,1.46205,1.93011,2.54505,0.20072,0.000208128,0.000208128,0.000208128
3,99.7566,1.39636,1.62612,2.18744,0.19155,0.74232,0.72054,0.79855,0.4526,1.17605,1.34058,2.4294,0.17546,0.000306995,0.000306995,0.000306995
4,140.233,1.263,1.32022,2.20643,0.19069,0.84197,0.81302,0.8822,0.53585,1.06939,1.10573,2.36114,0.16189,0.000396619,0.000396619,0.000396619
5,178.035,1.25916,1.07457,2.04384,0.1906,0.86501,0.93231,0.9388,0.60725,1.04796,0.96459,2.07751,0.15062,0.000477002,0.000477002,0.000477002
6,217.83,1.22627,1.04195,1.91503,0.17373,0.91112,0.95083,0.97466,0.65405,1.03596,0.89554,2.00796,0.14534,0.000548143,0.000548143,0.000548143
7,249.2,1.18189,0.91466,1.84026,0.17621,0.91634,0.98109,0.98211,0.64335,1.04834,0.85592,1.87455,0.15423,0.000610042,0.000610042,0.000610042
8,280.877,1.09229,0.85728,1.68011,0.16953,0.95299,0.96609,0.98386,0.67357,0.99817,0.82545,1.75738,0.15789,0.000662699,0.000662699,0.000662699
9,312.443,1.15038,0.8606,1.73205,0.17925,0.95573,0.96463,0.98824,0.6987,0.94953,0.76117,1.69489,0.15666,0.000706115,0.000706115,0.000706115
10,344.036,1.13161,0.8157,1.74842,0.17081,0.97784,0.97496,0.9905,0.64726,1.00095,0.78959,1.65232,0.15986,0.000740288,0.000740288,0.000740288
11,375.016,1.09476,0.82273,1.65333,0.15668,0.97399,0.9779,0.99265,0.65935,0.97152,0.76538,1.65883,0.15383,0.00076522,0.00076522,0.00076522
12,408.147,1.06433,0.75921,1.6645,0.15487,0.96708,0.98799,0.99257,0.71611,0.93145,0.68959,1.60507,0.14857,0.000780909,0.000780909,0.000780909
13,440.636,1.0348,0.73403,1.61976,0.15722,0.97646,0.9794,0.99326,0.7374,0.90264,0.67509,1.59294,0.15453,0.000787357,0.000787357,0.000787357
14,473.335,1.06622,0.73794,1.59745,0.17459,0.98765,0.97725,0.99402,0.69811,0.93457,0.6756,1.5157,0.16723,0.000784564,0.000784564,0.000784564
15,505.441,1.01897,0.70324,1.55582,0.16722,0.98552,0.97719,0.99332,0.69534,0.92099,0.65302,1.47864,0.16727,0.000742815,0.000742815,0.000742815
16,537.445,0.93603,0.68363,1.56271,0.15192,0.97574,0.99237,0.9939,0.71933,0.89025,0.6221,1.47573,0.15756,0.000676802,0.000676802,0.000676802
17,571.019,0.89597,0.65468,1.5831,0.15327,0.9808,0.98366,0.99394,0.70878,0.91666,0.61727,1.47812,0.16028,0.000610789,0.000610789,0.000610789
18,603.332,0.87972,0.63393,1.52269,0.15647,0.98762,0.98178,0.99432,0.71785,0.88559,0.6135,1.46676,0.15109,0.000544776,0.000544776,0.000544776
19,636.855,0.82478,0.62766,1.44688,0.14378,0.98968,0.99054,0.9946,0.7463,0.82933,0.59817,1.44436,0.14547,0.000478762,0.000478762,0.000478762
20,668.894,0.81827,0.61799,1.45946,0.13124,0.99044,0.99134,0.99471,0.7613,0.82475,0.58495,1.43185,0.14582,0.000412749,0.000412749,0.000412749
21,700.711,0.83045,0.60923,1.42877,0.13609,0.98627,0.99122,0.99465,0.76735,0.81288,0.57779,1.42464,0.14861,0.000346736,0.000346736,0.000346736
22,731.413,0.81929,0.59144,1.42141,0.14748,0.98993,0.99202,0.99473,0.77743,0.78871,0.56839,1.42275,0.14733,0.000280723,0.000280723,0.000280723
23,762.14,0.8098,0.59862,1.46634,0.1257,0.99856,0.99129,0.99481,0.78616,0.77127,0.55987,1.41874,0.14103,0.00021471,0.00021471,0.00021471
24,793.059,0.80179,0.60924,1.43301,0.13103,0.99861,0.98997,0.99483,0.79996,0.75755,0.55735,1.41113,0.13658,0.000148696,0.000148696,0.000148696
25,823.965,0.79206,0.58587,1.39966,0.12654,0.99871,0.98922,0.99481,0.80168,0.75302,0.55556,1.4102,0.13565,8.26832e-05,8.26832e-05,8.26832e-05
